,g_song_id,writer_id,writer_name
0,149508,9536,Jimmy Page
1,149508,12999,Robert Plant
2,149625,1080,Walt Whitman
3,149629,85,T.I.
4,149629,853,B.o.B
5,149629,406,Young Dro
6,149629,20185,Travis Scott
7,149629,1075,Trae tha Truth
8,149629,9248,Chip
9,149653,7922,Logic
10,149667,742,T.S. Eliot
11,149698,12073,Sido
12,149698,12840,Fler
13,149795,1194,Soulja Boy
14,149811,7922,Logic
15,149811,14963,Dizzy Wright
16,149824,49678,Jorma Taccone
17,149824,76271,Akiva Schaffer
18,149824,21632,Andy Samberg
19,149824,1087651,Kaywan Qazzaz
20,149824,1087650,Syed Shabi Naqvi
21,149833,33419,Melo Mendes
22,149833,33432,Le Devin
23,149833,13062,Alpha Wann
24,149833,13640,Guizmo
25,149833,14071,Deen Burbigo
26,149833,17296,Darryl Zeuja
27,149833,11994,Logan
28,149833,18487,Ouhhz
29,149833,20038,L'Animal
30,149833,55582,Framal
31,149833,14072,2zer
32,149833,58094,Mekra
33,149833,13063,Nekfeu
34,149838,30192,Kevin Gates
35,149861,49384,Randy Rhoads
36,149861,3347,Ozzy Osbourne
37,149861,49385,Bob Daisley
38,149869,27938,Sonny Digital
39,149869,88813,Offset
40,149869,61600,Quavo
41,149869,9688,Que
42,149903,533279,Ralph Carmichael
43,149903,115373,Keith Harris
44,149903,438,Chris Brown
45,149903,713,​will.i.am
46,149911,645116,DNA (Battle Rapper)
47,149911,24508,Dizaster
48,149913,7922,Logic
49,149914,533279,Ralph Carmichael
50,149914,115373,Keith Harris
51,149914,3114,J.R.
52,149914,648974,William Adams
53,149914,438,Chris Brown
54,149914,745,Bow Wow
55,149914,1641,Hurricane Chris
56,149919,49407,Carole King
57,149922,49407,Carole King
58,149925,673461,Toni Stern
59,149925,49407,Carole King
60,149927,49407,Carole King
61,149928,49407,Carole King
62,149931,49407,Carole King
63,149932,7922,Logic
64,149934,673461,Toni Stern
65,149935,49407,Carole King
66,149935,409439,Gerry Goffin
67,149936,49407,Carole King
68,149936,409439,Gerry Goffin
69,149937,49407,Carole King
70,149938,49407,Carole King
71,149938,32905,Jerry Wexler
72,149938,409439,Gerry Goffin
73,149948,15740,Lana Del Rey
74,149953,2052,Omarion
75,149953,745,Bow Wow
76,149954,257,Waka Flocka Flame
77,149954,396,Wale
78,149954,20186,Lil Reese
79,149956,630,Rivers Cuomo
80,149959,139034,James Mercer
81,149960,85,T.I.
82,149960,1181,The-Dream
83,149962,42262,Alex Medina
84,149962,54032,Derek Minor
85,149962,14035,Andy Mineo
86,149962,1401,Lecrae
87,149965,288037,Guy Sigsworth
88,149965,12047,Imogen Heap
89,149974,20185,Travis Scott
90,149974,27638,KeY Wane
91,149974,4709,No I.D.
92,149974,492,Big Sean
93,149976,14035,Andy Mineo
94,150060,557056,William Salter
95,150060,529263,Ralph MacDonald
96,150060,12145,Bill Withers
97,150063,664806,Ed O'Brien
98,150063,664805,Colin Greenwood
99,150063,287476,Jonny Greenwood
100,150063,49096,Thom Yorke
101,150063,240814,Philip Selway
102,150065,1020785,George Tryfonos
103,150065,49449,Flume
104,150067,240814,Philip Selway
105,150067,664806,Ed O'Brien
106,150067,49096,Thom Yorke
107,150067,287476,Jonny Greenwood
108,150067,664805,Colin Greenwood
109,150073,22269,DollaBillGates
110,150073,12936,RiFF RAFF
111,150074,43914,Frédéric Riesterer
112,150074,27621,Giorgio Tuinfort
113,150074,2578,David Guetta
114,150074,157,Akon
115,150074,375,Ne-Yo
116,150119,48889,Simple Minds
117,150120,48889,Simple Minds
118,150124,1357132,Mick MacNeil
119,150124,1244264,Derek Forbes
120,150124,1244262,Charlie Burchill
121,150124,374926,Jim Kerr
122,150126,48889,Simple Minds
123,150151,2362,Mavado
124,150151,158,DJ Khaled
125,150151,460,Ace Hood
126,150151,46,Snoop Dogg
127,150151,127,Scarface
128,150151,589074,Charles B. Simmons
129,150151,589073,Joseph B. Jefferson
130,150151,589072,Anthony Tucker
131,150171,652362,Rolf Løvland
132,150171,652361,Brendan Graham
133,150174,2197,Future
134,150174,19064,Test
135,150174,35281,Mexico Rann
136,150199,1639,Wiley
137,150199,17649,James Fauntleroy
138,150199,130,Drake
139,150215,16138,Lomepal
140,150215,13062,Alpha Wann
141,150215,19217,Vald
142,150215,21841,Georgio
143,150224,28535,John Feldmann
144,150224,9048,Joel Madden
145,150224,9047,Benji Madden
146,150231,535,R. Kelly
