,Writer Name,IPI,PRO
85576,GLASPER ROBERT ,430989339,SESAC
85587,GOODMAN CHRISTOPHER DANIEL,490633448,ASCAP
85588,GRAHAM LARRY ,72443390,BMI
85593,MOSS BILLY LAWRENCE,342757356,ASCAP
85595,DAVY ELDEN L,505145390,ASCAP
85596,FROST RONALD ALLEN,353945245,BMI
85600,HENSON DARREN T,339307655,ASCAP
85601,PELZER KEITH ISAIAH,339313075,ASCAP
85606,ROBERTS JAMEEL ,686099982,ASCAP
85609,WHITFIELD AUTORO R II,794475881,BMI
85611,CHAPPELLE DAVID ,340089091,ASCAP
85612,SMITH CORY ,513307000,ASCAP
85629,KUZMA PETER G,418092367,ASCAP
85636,KNIGHT DONOVAN CHRISTOPHER,609508933,BMI
85637,MACKLIN JOSEPH EDWARD,478608803,SESAC
85640,YOKOKURA YUTAKA  ,46177770,ASCAP
85643,CHEGWIDDEN JOHN DAVID,541215491,ASCAP
85644,DEMERRITT MATTHEW REYNOLDS,477421538,ASCAP
85646,KATZ JORDAN ,345450766,ASCAP
85647,LOPEZ JOSHUA MATTHEW,448394325,BMI
85650,NISHITA MARK RAMOS,129128089,ASCAP
85652,RASTEGAR KAVEH ,438938902,ASCAP
85658,BELL ANTHONY C,189044252,BMI
85659,ROBINSON HAROLD LEE,467414540,BMI
85660,ROBINSON JR JAMES DARRELL,481098342,BMI
85663,FISHER DAN ,10303658,ASCAP
85664,HIGGINBOTHAM IRENE ,14087605,ASCAP
85666,MCKIE STEVEN WADELL,468839592,ASCAP
85678,WARREN DALE OSSMAN,32525608,BMI
85680,MCCURDY GEORGE HUBERT,544528837,ASCAP
85682,WORTHAM ERIC D II,615957129,BMI
85691,JOHNSON JEFFREY LEE,337107677,ASCAP
85699,BROWN JERRY ,36058000,SOCAN
85701,GARSON MICHAEL ,56459162,BMI
85702,GOMEZ RAYMOND ,52824585,BMI
85707,DRAPER AARON ,609505354,BMI
85708,LAWSON JOHN ,566373816,ASCAP
85710,WEATHERBE CHRISTOPHER STEPHEN,508638342,ASCAP
85711,WEATHERBE DOMINICK MONTEZE,617993701,ASCAP
85741,MATEEN KHARI ABDUL,514851460,ASCAP
85763,PAGEOT RICK ,505401204,SOCAN
85784,ROBERSON ERIC ,341612200,ASCAP
85786,GOLDSTEIN TYRONE BENJAMIN,538333057,ASCAP
85790,COLEMAN MATTHEW JAMES FIRTH,267260362,PRS
85825,ARCHER EDWARD K,227451283,BMI
85829,THOMPSON HOWARD A,206569760,BMI
85832,BERVINE JUNIUS ,473104282,ASCAP
85844,THOMPSON DONALD WINSTON,42055222,SOCAN
85846,SUNE PABLO ALEJANDRO,556117845,ASCAP
85847,DIJKSTRA SJOERD ,775175411,BUMA
85848,LODEWIJKS FOLKERT Y,793761200,BUMA
85849,MARS JAN ,774395990,BUMA
85850,MEULEMANS SANDER H M,774725800,BUMA
85851,LARSSON LARS ERIK  ,17342998,STIM
85852,ATON JUDAH SUN ADRIAN,483985693,ASCAP
85853,CLAYTON ROBERT L,401288882,ASCAP
85859,SPEVACEK LINDA R,335368260,ASCAP
85870,KOHLI DEV ,122061922,IPRS
85888,ABLER KEITH D,87468232,ASCAP
85889,DELLGER MICHAEL L,88081847,ASCAP
85896,DEAN GREGORY ,345100112,ASCAP
85900,VEINOTTE BRUCE ,790583115,ASCAP
85903,KANTOR JOSEPH ROBERT,524590749,ASCAP
85905,PARK JIN HWAN,537520850,KOMCA
85908,DE GROOT FRANK B BOUDEWIJN,228557254,BUMA
85909,NIJGH LENNAERT H,22378893,BUMA
85910,BOSE CHANDRA ,254157375,IPRS
85913,JOHNS MALCOLM E,457503549,ASCAP
85914,JONES BRYANT EARL,551734552,ASCAP
85917,WILSON DAN BURTON,56485456,ASCAP
85922,MCKENZIE JASON RAY,559536704,ASCAP
85925,BODETTE GARRET JON,812632463,ASCAP
85926,HAUCK CARL PHILIP,559473604,ASCAP
85927,KVETON BRYAN C,557130362,BMI
85930,FREEBAIRN ELI DON,812890631,ASCAP
85931,MUDGETT JEFFERY ALAN,812888317,ASCAP
85932,PENDLEY THYS JORDAN,813066463,ASCAP
85933,SCHILLING ERIC SCOTT,812890533,ASCAP
85934,LOLYEKAR SAMEER JAYKUMAR,463551846,ASCAP
85935,RESHAMMIYA HIMESH VIPIN,436902258,PRS
85941,CHAKRABORTY PRITAAM ,480101596,PRS
85942,GULZAR  ,254228281,PRS
85947,CASTILLO RUBEN LUIS,242272788,BMI
85948,LEEAH GARY STEPHEN,854821126,ASCAP
85949,MILLER CHARLIE ,193659820,BMI
85951,CIMINO KEN ,682518131,ASCAP
85954,OKUGAWA WRIGHT ABEL K,513337383,ASCAP
85960,GONZALEZ ENRIQUE ,566860020,ASCAP
85961,THIESSEN AMY CORRENE,534901363,SOCAN
85965,MURPHY MARY VIRGINIA,772842709,ASCAP
85967,THEARD STEPHEN LAWRENCE,127305105,ASCAP
85980,JONES STEVE G,335287358,ASCAP
85981,TREECE JEFF ,195380446,BMI
85983,BAKALLI MIGJEN ,596110152,ASCAP
85988,WATERSON JOHN KEVIN,849989151,ASCAP
85989,GABLE ASSUNDA HARMONY,866089592,ASCAP
86005,BUUREN VAN ELLER P,553620169,BUMA
86006,SHAH ROGER PIERRE,256542754,GEMA
86011,HUANG MING ZHOU,187739218,NS
86012,XIE MING XUN,187794503,MUST
86020,BLACKWELL GEBRIAN DEVAIN,631547555,ASCAP
86021,DINKINS CARL E JR,773369209,BMI
86022,HARCOURT ED ,267028854,PRS
86023,MACLEOD COLIN DAVID,533618947,PRS
86044,MOUTOUSSAMY THIERRY ,151996544,SACEM
86047,RUSSELL LEROY JUNIOR,680448724,ASCAP
86049,MONTROSE JACK ,21343825,ASCAP
86051,RUBY HERMAN ,26955464,ASCAP
86055,OSSER ABE ,333931373,ASCAP
86057,AGGETT PIERS SEAN,569920111,PRS
86058,AJIBADE OLUWATOSIN OLUWOLE,707442552,PRS
86059,DRYDEN KESI ,654589994,PRS
86060,IZADKHAH AMIR ,683527516,PRS
86066,STORACE MARK ,77294543,SUISA
86067,VON ARB FERNANDO,46041900,SUISA
86068,VON ROHR CHRIS,46041508,SUISA
86069,KOHLER MARK ,137777047,SUISA
86075,NAEGELI JUERG ,12136635,SUISA
86103,STONE NORMAN ,29703678,PRS
86107,MAURER MANY ,222296488,SUISA
86108,TANNER HANSPETER ,49038476,SUISA
86110,CASTELLUCCIO TONY ,137813176,SUISA
86133,TANNER PETER ,256423274,SUISA
86159,PINTER HANNO J,243870072,AKM
86163,ZOPPEL ALEXANDER ,403660784,AKM
86202,ARB (VON) FERNANDO,46042015,SUISA
86228,MASON LORRAINE  ,334339765,ASCAP
86245,MASON LORRAINE M,144564081,ASCAP
86289,KIEFER THOMAS ,89122171,NS
86317,FRUTIG FREDDY ,51998546,SUISA
86346,BRYANT RAYMOND ,640029287,ASCAP
86347,PHARR JASON D,474263446,BMI
86348,THEORET ALEX ,492045358,ASCAP
86349,HEINECKE KURT HENRY,449289117,ASCAP
86354,DAVIES DAVID RUSSEL GORDON,7593580,PRS
86355,COCHRAN KARL ,197467122,ASCAP
86356,FREHLEY PAUL ,88699694,ASCAP
86359,ACOSTA JOSEPH A,452715069,ASCAP
86366,GAMZOYAN ERIK ,727434144,BMI
86371,TOP DOG  ,670579809,BMI
86373,ANDERSEN ERIC HOOGESTEGER,575898574,ASCAP
86374,CHERGOSKY ROSS ,575898672,ASCAP
86375,SCHULZE RICHARD MARTIN,575908504,ASCAP
86376,WILLIAMS JASON DANIEL,570629440,ASCAP
86377,WILLIAMS MATTHEW ALLEN,570048465,ASCAP
86381,JACKSON ANTONIO MARTINEZ,509074166,ASCAP
86384,CLARK DAMIN LAMONT JR,795998245,BMI
86385,EDEN DAVONTAE ALLEN,752789890,ASCAP
86395,PATTERSON TIMOTHY P,336106294,ASCAP
86396,SOSA RUBEN DARIO JR,554028463,BMI
86397,FAIRBRASS CHRISTOPHER ABBOTT BERNARD,121617018,PRS
86398,FAIRBRASS RICHARD PETER JOHN,162560777,PRS
86400,MANZOLI ROBERT FRANCIS ANTHONY,162560875,PRS
86403,BLUECHEL TED ,63561776,BMI
86422,MOORE DAVID ADONIS,462528941,ASCAP
86423,STAPLETON WESLEY TYLER SEYMOUR,569020352,BMI
86429,OLIVER RANCE II,636211864,BMI
86430,WILLIAMS SUDAN AMEER,542280864,BMI
86435,RODRIGUEZ JULIO ,678887065,ASCAP
86436,CAJUSTE ULRICKSON ,619970020,ASCAP
86442,BELL WILLIAM ,2570722,BMI
86446,JONES BOOKER T JR  ,15468783,BMI
86454,MASTA WU  ,545589706,KOMCA
86456,COHRAN VINCENT LEONARDO,588362405,ASCAP
86458,RODRIGUEZ PAULO YTIENZA,618981313,BMI
86466,ASGHEDOM ERMIAS ,514036395,BMI
86470,BAILEY BRIAN ANTHONY,342778835,ASCAP
86480,BOLDEN STEVEN SHARIEF,707508545,BMI
86481,GRAY CLARENCE LAZAR,530337877,ASCAP
86483,MOSLEY NATASHA ,711086377,ASCAP
86494,JOHNSON RONALD LEONARD,346549438,ASCAP
86497,COLEMAN ORNETTE ,6493787,ASCAP
86508,EATON WILLIAM HUGHES,8979838,ASCAP
86513,FLACK ROBERTA ,66306287,ASCAP
86517,MERCURY ERIC A,42051626,BMI
86525,GAUDETTE CLAUDE ,48979516,BMI
86527,MC DUFFIE DEBORAH JEANNE,75202499,ASCAP
86529,MILES BARRY ,20813230,ASCAP
86532,MCDONALD MICHAEL H  ,438782910,ASCAP
86537,MC HUGH DAVID ,56497152,ASCAP
86542,PATRICK RICHARD MICHAEL,183492842,ASCAP
86555,PAOLI GINO ,23409022,SIAE
86556,MORRIS SCOTTY A,338924436,ASCAP
86558,LEVY JOSHUA E,676232433,ASCAP
86564,CALLOWAY CAB ,4878282,ASCAP
86565,GIBSON ALBERT ANDREW  ,48508175,ASCAP
86593,GASKILL CLARENCE ,11463427,ASCAP
86600,ROBINSON J RUSSEL,26282790,ASCAP
86608,KENAN RON ,126824182,ASCAP
86609,SWEET JEREMY ADAM,239146856,BMI
86622,BASS JULES ,2267916,ASCAP
86623,LAWS MAURY ,17476577,ASCAP
86626,FOX JACK ,10643137,ASCAP
86630,BRODER ANDREW W,347077843,ASCAP
86638,JOHNSON WILLIAM S,403095395,ASCAP
86639,OSUNLADE  ,196106464,ASCAP
86640,PADDOCK BRANDON HALL,595306232,ASCAP
86645,GILBERT ZACHARY MICHAEL,704343278,ASCAP
86647,KHANDWALA KATO ,603396459,BMI
86659,ANDERSON JAMES ,729210064,PRS
86666,CARDOZO JOSEPH JOHN PATRICK,447834134,ASCAP
86680,MCINTYRE WILLIAM SHORE,620588745,ASCAP
86689,Y K C  ,470983623,ASCAP
86691,SCHROETLIN KEITH ANTHONY,888666357,ASCAP
86706,GREEN DANIEL GRAHAME,810919839,PRS
86716,MILLER TRAVAUGHN L,526871139,ASCAP
86717,RODDY SHANNON NICOLE,459801038,ASCAP
86718,TAYLOR ANDY L,521005222,NS
86728,ZAPIEN RAYMOND ANTHONY,716465730,ASCAP
86729,WINTER KAI ,252376372,GEMA
86732,GALE DAVID MICHAEL ANTHONY,422450790,ASCAP
86733,POMARICO KENNETH ,408055479,ASCAP
86741,WOLFE ALLISON C,346368639,ASCAP
86743,SMITH ERIN SUSANNAH,248540363,BMI
86752,WHITFIELD RUDY J,513424881,ASCAP
86754,ROSEMAN NICHOLAS IVAN,519592230,ASCAP
86779,STRANE KORY DEAN,561985218,ASCAP
86784,LANNI ARNOLD DAVID,120447806,SOCAN
86785,LEFEBVRE SEBASTIEN ,425906553,SOCAN
86786,STINCO JEAN FRANCOIS,433598340,SOCAN
86792,WARREN MICHAEL ANTHONY,479597478,BMI
86795,EMERY JULIAN ,273398044,PRS
86796,IRVIN JAMES LAWRENCE,121650513,PRS
86808,COMEAU CHUCK  ,428615255,ASCAP
86809,LEFEBVRE MICHAEL SEBASTIAN,607448738,BMI
86810,STINCO JEFF ,433598438,SOCAN
86821,DESROSIERS DAVID ,428624646,SOCAN
86838,GRAYDON JAMES ROGER,250467576,PRS
86903,PETERSEN RYAN ,497776379,ASCAP
86907,MARTIN BEATRICE MIREILLE,560014200,SOCAN
86911,CHA KELLY ,564086928,BMI
86975,STEWART RYAN ,294923821,SOCAN
86994,COULTER PHIL ,121969274,IMRO
86995,MARTIN BILL ,192663252,BMI
87021,KELLEY MALCOLM DAVID,745953308,ASCAP
87022,KIRIAKOU EMANUEL STEVE  ,183497925,ASCAP
87059,DICKERSON RICH J,347326361,ASCAP
87101,MEECE DAVID ,89483815,ASCAP
87104,CUTRIGHT SIMON REX,498782675,BMI
87105,MELIK ARMEN ,451482757,ASCAP
87112,TORSIELLO WILLIAM PATRICK,63487755,BMI
87116,WHITE DAVID JAMES,347228752,ASCAP
87135,CLARK RICHARD LYNN,612818753,ASCAP
87136,ELLIS SEGER ,9224017,ASCAP
87137,MOORE GLEN T,21368704,BMI
87139,CRAIG ANDREW SHAWN,127288856,ASCAP
87141,FASANO DEAN C,60806100,ASCAP
87152,CRAWFORD DAVID B,59832349,ASCAP
87153,JAMES CHERYL ,129116099,ASCAP
87154,FINN NEIL MULLANE,60718881,APRA
87155,HART MARK G,127116402,ASCAP
87156,JONES PETER ROBERT,200952014,APRA
87157,SEYMOUR NICHOLAS MORE,200982691,APRA
87161,FINN TIM ,160847467,APRA
87163,HESTER PAUL NEWELL,200949392,APRA
87164,HOOPER CRAIG LINCOLN,82750275,APRA
87178,SEYMOUR NICK ,278063840,APRA
87179,EDWARDS WILLIAM ROBERT,795696756,ASCAP
87186,CAMERON NED ,669076404,ASCAP
87200,SPRUIELL MARCUS MONTEL,845745899,ASCAP
87202,CARRIER BRANDON LEMAR,644828422,BMI
87204,WOODARD JESSE ,539095624,BMI
87219,CRUMP FRANK WILLIAM,499865271,ASCAP
87224,WILLIAMS LATOIYA R,347136857,ASCAP
87226,DAVIS JERAMI C,618253844,BMI
87254,AUSTIN DAVID JACOB,820106787,ASCAP
87255,STOTTS MACKENZIE ALLEN,725790227,BMI
87261,MCINTOSH CARL WILLIAM,443018488,ASCAP
87273,MARZOUCA NIKOLAS ,422106216,ASCAP
87286,ANENE EMMANUEL C,483965012,ASCAP
87291,DAVIS CHARLES J JEFFERSON,86253463,NS
87293,JONES DOUGLAS EARL,340360895,ASCAP
87303,ATANGANA OWANA JONATHAN REGIS,750808537,SACEM
87307,GIBSON JOHNMICHAEL HAKEEM,611356676,BMI
87309,ALTICE DERRICK S,855533027,BMI
87310,MARCH BRYSON R,855429704,BMI
87315,CARD JACKSON PATRICK,724122873,ASCAP
87318,KLEIN ANDREW ,502909470,BMI
87333,ODOM RASHOD ALI,789877832,ASCAP
87346,BELZ VICTORY AARON,708134363,ASCAP
87348,FORTE GILBERE ,499164404,ASCAP
87356,NIKKIYA DANYEL BROOKS  ,555317841,SESAC
87361,GRANT JULIAN SINCLAIR,760969599,SESAC
87373,GILYARD KEVIN ,555032961,ASCAP
87409,MASSIE JAMES T,604705080,ASCAP
87413,JOHNSON JEFFREY LEE,595051732,ASCAP
87414,SIMMONS TYREE CINQUE,485695790,ASCAP
87432,WRIGHT KENNETH O,525865333,ASCAP
87434,BROWN REGINALD A (ANTHONY),30231447,ASCAP
87435,DAVIS RICHARD J,36918366,ASCAP
87436,FLOYD STAFFORD M,30269509,ASCAP
87438,JEFFERY JAMES ROBERT,633675924,APRA
87460,TEDDER RYAN MATTHEW,722800962,NS
87468,PATINO DAVID ,709123070,SOCAN
87473,SCARBOROUGH SKIP ,63678256,BMI
87482,SIMTIKIDIS PAVLO ,220125729,SOCAN
87483,TROOP JOSEPH SMITH,740204194,ASCAP
87486,SHAMS SEYEDPAYAM ,746988670,ASCAP
87487,BELLAMY SHAINA RENICE,811272277,ASCAP
87530,WHEATLEY MERVIN A,56759833,BMI
87578,TAYLOR STARLEANA E,269547910,BMI
87601,LEA DOUGLAS GARRETT,533943053,SOCAN
87652,HICKS MARK J,36475670,NS
87684,STOOL JESSE ,29709464,BMI
87716,OWENS BAKARI ,505237677,ASCAP
87780,OLDFIELD MICHAEL GORDON,77497524,PRS
87815,CROSS TIMOTHY KJELL,36319197,PRS
87816,FENN RICHARD WILLIAM,73127199,PRS
87818,PERT MORRIS DAVID BROUGH,65422488,PRS
87819,REILLY MARGARET ELIZABETH LEGGATE,121602723,PRS
87823,BEDFORD DAVID VICKERMAN,33871386,PRS
87841,BLANGER OLIVIER ,153427484,SACEM
87842,GOURDAIS STEPHANE PATRICE GERAR,153205113,SACEM
87843,GUEYE SERIGNE M'BAYE,152702988,SACEM
87891,GOOD JAMIE A,429134857,ASCAP
87915,ALVES RICHARD ALBERT,39434769,BMI
87917,HYLER TAMARA J,337143869,BMI
87919,SMITH SHAYE  ,183155472,BMI
87925,NICHOLS JAMES TIMOTHY,193896509,BMI
87926,O NEAL JAMIE  ,339472245,ASCAP
87928,DEAN ROXIE LEA  ,182822562,SESAC
87930,MURPHY PATRICIA ANN,402706693,ASCAP
87937,STEGALL ROBERT O,139098549,BMI
87945,MURPHY JAMES ALEXANDER,200895585,ASCAP
87952,WILLIAMS MELINDA DUNCAN,505967728,SESAC
87953,MILLETT DOUGLAS LEWIS,126039889,ASCAP
87957,CAIN NOBLE ,4813514,ASCAP
87960,STONE STEPHEN CLIFFORD,40580604,BMI
87961,LUNSFORD JAMES C,18764958,ASCAP
87976,HALL JOHANNA D,66040696,BMI
87987,MABE JON CLIFTON,189152935,BMI
87988,MATTHEWS PATRICK JASON,341101623,BMI
87998,PARRIS FREDERICKE L,23539792,BMI
88008,ROSE PAMELA K,179390432,SESAC
88026,KRENN SHERRIE VERONICA,182688040,BMI
88027,RAMBEAUX WILLIAM W,207944267,BMI
88028,CLEMENT JACK ,214836967,BMI
88029,ROBERTSON DON ,88540057,ASCAP
88044,BURGESS DAVE ,4591405,BMI
88045,WESTBERRY JAMES KENT,40619995,BMI
88048,NASH JOHNATHAN DAVID,482415749,ASCAP
88049,WORKMAN RICARDO BERNARD,597933974,ASCAP
88054,NASSIF ANTON S,346010698,ASCAP
88062,MCGUIRE THOMAS RHODES,454251960,ASCAP
88068,PARRIS CLINTON GABRIEL,482394137,ASCAP
88070,CASTRO MUCCI FRANCISCO DE,473306756,SGAE
88071,FREITAS MUCCI JOAO BOSCO DE,70048404,SGAE
88072,EPP PAUL JOSEPH,532030999,ASCAP
88076,DAVIS NASHAD AARON,648243533,BMI
88077,SHINES JOSEPH FRANKLIN,486963885,ASCAP
88078,WASHINGTON KALEB MATHEW,809575506,BMI
88079,WATTS LEMARR DEAN,490120780,ASCAP
88084,NASTA ROBERT A,545179240,ASCAP
88090,ARANA JORGE HUGO,453657438,ASCAP
88091,BAKER CURTISS WAYNE,586419019,ASCAP
88092,SUTHERLAND JAMES ALAN,578405716,ASCAP
88094,RIPPLINGER PETER M,490151667,ASCAP
88104,MOSS FREIDA LYNNETTE,746497694,ASCAP
88105,NOSSEL ISAAC ,667130837,PRS
88115,STEVENS JAMES ,87086642,PRS
88116,VARLEY FREDERICK WILLIAM,31648595,PRS
88121,HENDRICKSON SMITH IAN FRANCIS,404381096,BMI
88125,ROTH GABRIEL ALEXANDER,189142547,BMI
88128,STRIBLING FRANKLIN D,334353187,ASCAP
88129,SUGARMAN NEAL ANDREW,197840621,BMI
88130,HANSON JOHN RYAN,517124284,BMI
88132,ALVES JOSE DAVID,45235597,NS
88136,NOWLAN BARBARA A,59894711,NS
88139,MATTHEWS COLIN ,87637923,PRS
88140,CRISP KYLE DEAN,616669030,ASCAP
88141,REECE VANESSA ,665680118,ASCAP
88151,ALLEY SHELLEY LEE,49631761,SESAC
88154,LOUDHNI GOLD ALI LEE,638598983,NS
88156,FRANKLIN NEBRASKA ,344052688,ASCAP
88157,ANDERSON STEPHEN C,345821363,ASCAP
88162,CHUCHUA JASON ,424029587,ASCAP
88163,SIMMONS ORENTHAL JAMES,443893921,ASCAP
88164,YUNG NASTY  ,446298036,ASCAP
88166,BLASZCZYNSKI STEFAN ANDRZEJ,296035746,ZAIKS
88167,KROLIK JACEK TADEUSZ,265598421,ZAIKS
88168,KROLIK PIOTR BOGUSLAW,296044255,ZAIKS
88169,KSIAZEK ZBIGNIEW TADEUSZ,68571448,ZAIKS
88170,MUS JANUSZ MAREK,241193298,ZAIKS
88171,NOWICKA MLYNKOVA HALINA,477425232,ZAIKS
88172,PIETAK GRZEGORZ ,296050557,ZAIKS
88173,PRUCNAL ADAM WOJCIECH,255963631,ZAIKS
88175,BARASA NASAMBU ,594230249,ASCAP
88176,OTONGO-ASIKOYE JUSTO DANIEL,344369648,ASCAP
88178,DOWLING JANET R,129845937,ASCAP
88184,WESLEY FRED A,62023618,BMI
88204,MILTON JAMAAR ANTHONY,422093491,ASCAP
88211,PEART TRISTMAR ,773589880,SOCAN
88217,SPIEGEL SAM ,417669824,ASCAP
88220,ZACHRISSON LYKKE LI TIMOTEJ,476657899,STIM
88221,ZE GONZALEZ  ,614069954,UBC
88223,HAGOOD ROBERT JACOB,646190441,ASCAP
88224,KIRSCHBAUM MEGAN CONLIN,474265146,BMI
88227,ANDERSON JOHN RICHARD,503829657,ASCAP
88228,HEADRICK ROY LEE,669502125,ASCAP
88229,FRANKLIN LEON R,126301711,ASCAP
88231,CAMPBELL THOMAS DELMAR,87055461,ASCAP
88243,ANDERSON ADRIENNE ,56483462,BMI
88248,BLANSON CLINTON ,127938939,ASCAP
88254,FREEMAN DONALD J,87173454,BMI
88267,HUMPHREY JOHN STEPHEN,337778616,BMI
88268,MC LAWHORN WILLIAM TROY,337292651,ASCAP
88269,STEWART DALE WILLIAM,417853836,BMI
88270,WELGEMOED SHAUN MORGAN,294221176,BMI
88299,ABBRUZZESE DAVID JAMES,334168962,ASCAP
88302,MC CREADY MICHAEL DAVID,334070595,NS
88306,STEWART DALE ,417853346,BMI
88321,MARTIN BARRETT HARRINGTON,232830591,BMI
88323,SAUNDERS JOHN BAKER,183888024,BMI
88324,STALEY LAYNE THOMAS,129436468,ASCAP
88330,LEFEBVRE RAYMOND LOUIS AUGUSTE,17662779,SACEM
88331,MAURIAT PAUL ,60297289,NS
88332,PLANTE JACQUES ,24516604,SACEM
88333,POURCEL FRANCK MARIUS LOUIS,24801608,SACEM
88341,SMITH JASON ,452170384,ASCAP
88347,ANGELICA STEVE ,125378769,NS
88351,BOWERSOCK WILLIAM D,73026991,BMI
88352,HOELZEL JOHANN ,45533294,AKM
88353,PONGER ROBERT ,60460603,AKM
88354,BECVAR BRIAN F,74020706,ASCAP
88355,KRUTECK LAURA BRANIGAN,51250422,NS
88361,CAIN MARIE F,77603268,ASCAP
88364,SCANLON DIANE ,127240109,ASCAP
88366,MANGOLD MARK ,63970363,ASCAP
88369,PESSIS ANDRE ,48295653,ASCAP
88370,WELLS KEVIN RICHARD,69816534,BMI
88371,OWEN (DE) STEVE,45704097,NS
88372,BRANIGAN WILLIAM CHRISTOPHER,127773458,ASCAP
88374,DIETRICH BERND ,56246577,GEMA
88376,SIMONS ENGELBERT ,87983606,GEMA
88377,SPIRO MARK ,120694690,BMI
88379,MC KEE MARIA LUISA,141944283,BMI
88380,RACKIN ALAN ERIC,128343190,ASCAP
88381,RIFKIN JAY ,128956931,ASCAP
88384,COCHRAN CHARLES E,75312882,ASCAP
88385,PALMER DAVID ,62233114,ASCAP
88387,PARKER JOHN LEWIS,72303506,BMI
88388,BIGAZZI GIANCARLO ,3155337,SIAE
88389,TOZZI UMBERTO ,84359354,SIAE
88395,BRACKMAN JACOB ,59594236,ASCAP
88405,BAKER ARTHUR HENRY,44811495,BMI
88406,KIMBALL STUART MORSE,125633491,ASCAP
88418,CIANCIA LARRY JAMES,346091075,ASCAP
88419,POWERS CHESTER WILLIAM,24820015,BMI
88421,WOLK THOMAS A,202808205,BMI
88425,HOLMES NICHOLAS I,14317226,BMI
88433,TAYLOR LIVINGSTON ,59602861,ASCAP
88437,THOMAS GUY SAMUEL,439196624,ASCAP
88438,ZIGMAN AARON LAEL,144841083,BMI
88439,MAINIERI MIKE ,40201158,ASCAP
88457,WIESNER ZACHARY K,127992345,ASCAP
88458,SAMWELL SMITH PAUL GRANVILLE,27417199,PRS
88466,DELEAULT JOSEPH RICHARD,538862709,ASCAP
88468,THOMPSON ERNEST ,459775986,ASCAP
88479,VOLLENWEIDER ANDREAS ,75530870,SUISA
88481,MC MAHON GERARD ,30414338,ASCAP
88496,LEVINE LUCY SIMON,34657576,ASCAP
88499,WOOD PETER JOHN,35769947,BMI
88504,CALO PETER R,186882220,BMI
88505,SAW DAVID NORMAN REES,436312578,PRS
88507,TAYLOR BENJAMIN SIMON,404185584,ASCAP
88520,GOHL MATTHIAS ,60760885,BMI
88522,PARR JAMES WINSLOW,505494652,ASCAP
88531,IMBRUGLIA NATALIE ,265453359,PRS
88533,JOHNS DANIEL PAUL,181577548,APRA
88536,MCCRACKEN DAVID ,284283153,PRS
88546,RICE DAMIEN GEORGE,259574620,IMRO
88547,CORNER CHRISTOPHER ANTHONY,264790637,NS
88548,HOWE LIAM COVERDALE,262018101,PRS
88550,PICKERING IAN RICHARD,264790539,PRS
88554,PRIME MATTHEW ALAN,284045663,PRS
88559,BAMONTE PERRY ARCHANGELO,245683841,PRS
88564,HUNT CRISPIN MACMICHAEL SANDYS,253145097,PRS
88566,JOHNSON GARETH STEPHEN BESWICK,295631342,PRS
88567,MURPHY DESMOND PATRICK,280102116,PRS
88568,BJOERNSDOTTIR HEIDRUN ANNA,262424484,STEF
88578,HARRINGTON MARTIN PETER,294902146,PRS
88579,HOWES ASHLEY FRANCIS,296919305,PRS
88582,PALOMBI RICK JUDE,125019410,ASCAP
88585,CASABLANCAS JULIAN ,344723564,ASCAP
88586,HOMEM CHRISTO GUY MANUEL,418684139,BMI
88590,WRIGHT ANDREW MICHAEL,122167409,PRS
88605,WESTCOTT PAUL ANDREW,279549701,PRS
88608,CLARK GARY ,349087337,ASCAP
88611,THORNALLEY PHILIP CARDEN,122297395,PRS
88629,PYKE JOSHUA JON,406797434,APRA
88631,PREVEN ANNE ,216018406,BMI
88633,BIEGEL DAVID ALLAN,276842137,SESAC
88642,CAMPSIE COLIN LESLIE,47051302,PRS
88657,SCOTT LA TOCHA,338134570,ASCAP
88661,LOWE CARLTON LEWIS  ,333814083,ASCAP
88668,JACKE ALEXANDER CLAY,634495430,ASCAP
88669,PERRY TODD LAMAR,659555792,ASCAP
88680,MACK NAFIS BASHIR,432411796,ASCAP
88683,COTTLE TAMEKA D,338239158,ASCAP
88688,LOVELY WILLIAM M,747049523,BMI
88692,WINSTON DARNELL ,504184481,BMI
88708,BENNETT BRANDON K,335942648,ASCAP
88714,JACKSON MICHAEL ,523553664,BMI
88719,NURI ERIKA F,245382957,ASCAP
88725,REDDING OTIS ,49507172,BMI
88733,KENDRICK KEVIN LLOYD,73603488,BMI
88735,SCOTT TAMIKA  ,341714583,ASCAP
88759,ACEA JOHN ,188871607,BMI
88761,SCOTT BARETHEA TAMIKA,341714485,ASCAP
88776,BRUCE ROBERT ,4378010,ASCAP
88777,FEYNE BUDDY ,10158927,ASCAP
88778,PARRISH AVERY ,23540616,ASCAP
88779,CHRISTIAN CHARLES ,238787029,BMI
88783,SAUTER EDWARD E,27724581,ASCAP
88789,MEYERS BILLY ,20663024,ASCAP
88792,HAMILTON GEORGE SPIKE,13294116,ASCAP
88794,BOUTELJE PHIL ,3932804,ASCAP
88795,WINFREE RICHARD A,33066608,ASCAP
88796,BELLIS HAL ,2598102,ASCAP
88812,LIVINGSTON WILLIAM ,18254693,NS
88814,ARGANDONA GALETTI MARIO LUIS CARLOS,87943524,GEMA
88816,NAREA SCHREBLER CARLOS ENRIQUE,87975310,SGAE
88817,SKYLAR SUNNY ,28913768,ASCAP
