id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1fcyfC1KLSWVCIvALR5AxS,0.379,0.941,11,-10.443,0,0.038,0.000869,0.000666,0.0393,0.527,105.155,341333,4
2Hy27APwGt3lMfpZ0Bzf13,0.467,0.823,7,-13.373,1,0.0385,0.000144,3.58e-05,0.1,0.357,104.162,264667,4
77Iw0LG356gd4CF5tCcGNj,0.187,0.914,7,-9.373,1,0.228,0.00019,0.426,0.285,0.225,195.604,162360,4
0hYeFd1LFWrIFvRmRGBiUR,0.363,0.723,6,-10.99,0,0.0488,0.00227,0.000429,0.0691,0.271,98.268,428919,4
1dWs9fKUnDbW1vkkM5Votu,0.332,0.987,11,-4.507,0,0.0922,0.0015,0.00554,0.0358,0.287,152.443,353973,4
0MuJLuEaZuXX8aMBFCrTE4,0.305,0.987,4,-10.409,1,0.116,0.00024,0.000185,0.139,0.0395,156.049,316867,4
5fsU7AtSTp0zySUf46hwbt,0.511,0.308,7,-15.021,1,0.0247,0.408,2.2e-05,0.15,0.377,83.546,235560,4
6Wj1rWuBVS08cTuzYnvrei,0.405,0.547,4,-14.29,0,0.0381,0.111,8.03e-06,0.163,0.406,138.411,257400,4
69GLomI9cfMhIDtHbyKAXw,0.451,0.973,9,-3.615,1,0.1,0.0019,0.122,0.0893,0.652,140.642,259867,4
17sn00z8VEiRJuW6eJrlSq,0.467,0.578,9,-13.635,1,0.0331,0.0715,0.00192,0.0436,0.682,135.67,262827,4
5W2SGcu7o0Pe5yj7mL86jq,0.682,0.696,11,-10.11,1,0.0299,0.0117,0,0.0445,0.964,119.902,219133,4
4aczfKPPHlNusfMiN94hHI,0.599,0.867,7,-9.516,1,0.0494,0.0331,9.08e-05,0.116,0.894,108.317,204080,4
76VZcGoOjL6RS0pjsNPLzY,0.415,0.841,4,-8.864,1,0.0382,0.000787,9.91e-06,0.0965,0.501,81.992,231213,4
3cRt9j0q8JaJFfRmmrWz7x,0.561,0.768,5,-9.962,1,0.161,0.817,0.0891,0.289,0.583,90.36,191053,4
7a6OzNCJJId4ZhNTkJHPgx,0.594,0.661,9,-13.79,0,0.0465,0.111,7.07e-06,0.0929,0.904,129.045,180200,4
0bT9zH62RHMtpQm38XNwPJ,0.432,0.903,9,-4.857,1,0.0868,0.00247,0.00539,0.135,0.655,140.801,217027,4
2RSOzvKUnfDDrb2nQPfpQU,0.814,0.955,1,-5.905,0,0.0377,0.0146,0.283,0.218,0.963,129.992,197773,4
4cQ4uc9psVcYC2S89nd7JG,0.716,0.916,0,-6.735,0,0.0587,0.132,0.000178,0.0707,0.461,140.013,203293,4
4qZwVr553XcQNdeqjueeE3,0.68,0.943,0,-6.488,0,0.038,0.055,0.0189,0.39,0.824,139.954,225733,4
5tnqSEWM3EKoEtjSZpmHcH,0.72,0.939,0,-6.357,0,0.0279,0.0266,0.0188,0.131,0.794,139.039,216707,4
365NsLW6lNgJqfzNv7xlXt,0.696,0.725,8,-10.12,1,0.0284,0.149,4.34e-06,0.0651,0.544,104.012,249093,4
0Laywz8NucAJE5M9sW4SSY,0.698,0.969,6,-4.201,1,0.0304,0.00211,0.000257,0.339,0.964,129.953,208733,4
3vV2Gu4JlRaeHfJxg2Z1dk,0.722,0.925,2,-7.649,0,0.0345,0.112,0.000718,0.0892,0.953,133.006,204720,4
7cHWFXY1V6D2H0kvPFE9UM,0.418,0.936,7,-4.755,1,0.0668,0.123,0,0.945,0.429,111.558,255733,4
0rO9zy2xrUHQYszmtdprb1,0.684,0.989,1,-3.873,1,0.0533,0.0203,0,0.0797,0.786,128.012,218920,4
66wYCkp4ssZG5fFIRDgfoW,0.693,0.776,6,-5.394,1,0.0391,0.00385,1.15e-05,0.0644,0.728,127.996,226147,4
7KsZHCfOitA5V9oQYVdltG,0.548,0.865,0,-5.325,1,0.0302,0.00171,0.000449,0.457,0.61,116.046,303013,4
2UWdUez9MB9yzL7Y81Mcip,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,4
6Hmj7SrLRbreLVfVS7mV1S,0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,335333,4
0xOeB16JDbBJBJKSdHbElT,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,310893,4
0SaEmR2rdtfsZawPjMYkWg,0.604,0.768,7,-6.484,1,0.0308,0.541,0.0201,0.752,0.645,123.067,353240,4
2voWPWlDfIthC6GUjaIQyV,0.423,0.949,11,-4.097,1,0.0972,0.0181,0.00355,0.292,0.278,189.976,283507,4
0KWcRXcnGoB0gWSu4mshF8,0.663,0.774,0,-5.157,1,0.0863,0.113,0.112,0.462,0.681,102.982,242373,4
01wsKcJ8ptqUmatpJlEGYj,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893,4
0WZZJ0mDKIkLfL0710ssZt,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,288333,4
0U0p8weaMIbIFMJ0CPlvHV,0.518,0.81,8,-6.445,1,0.029,0.016,0.0013,0.115,0.179,99.968,325547,4
638poNnWFgzt7UJBQ5SWtM,0.716,0.634,2,-9.332,1,0.0315,0.000557,7.29e-05,0.249,0.348,110.789,329107,4
0UhZkk4agmJpbMCvT3OgLG,0.716,0.552,2,-14.746,1,0.0353,0.0113,1.42e-05,0.343,0.483,110.791,328093,4
75l1HJhqU1DKSXoiRra3um,0.695,0.552,0,-9.077,1,0.0319,0.0525,2.7e-06,0.129,0.835,103.348,228560,4
1o6aMZTxEqVYoW1QMun5Vj,0.691,0.666,0,-10.371,1,0.0377,0.0209,5.04e-06,0.0873,0.765,126.166,270693,4
6EWcCuZOfqKAlpYrJugdFa,0.712,0.622,9,-11.033,0,0.0359,0.182,0,0.488,0.961,123.806,263320,4
1ZjP8PrPm0A2Iwe9caUWKn,0.619,0.682,9,-9.968,0,0.0384,0.0585,0.00016,0.0373,0.585,116.755,449147,4
1kv6D2Nbs35Ilq2mkBXzab,0.69,0.664,4,-10.42,0,0.0338,0.041,4.81e-05,0.147,0.527,114.166,357987,4
6VHzeUdVz2nOVEI985qFmW,0.221,0.199,7,-17.302,1,0.0357,0.649,0.00985,0.0869,0.0814,63.368,221160,4
3yY2RPygYoqskyjcUTr6o1,0.182,0.36,9,-13.433,0,0.0397,0.525,0.000643,0.115,0.129,75.668,460667,4
2Ouvmpw948C3wMMkIuAJ6y,0.674,0.746,2,-8.342,1,0.0524,0.00786,0,0.362,0.319,111.251,270933,4
5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
