,confidence,duration,loudness,mode,mode_confidence,tempo,tempo_confidence
6k9L7kTBzjXY0GfazHYqCg,0.04827756666666666,88.7212888207789,85.8691118333333,0.17777777777777778,0.03472067777777778,1.7909101000000023,0.007427788888888888
6kAS4yj3wHJXcLp93vr5aG,0.05212457142857144,234.52989489676187,28.420552952380948,0.14285714285714288,0.03519066666666667,2.511392952380958,0.01328957142857143
6kBU9uWqar0Fw2Ws0he11A,0.10500742424242425,114.32662553518786,44.165369969696975,0.08333333333333333,0.061551969696969716,1.70559099242424,0.017542636363636368
6kD36kVRn5leDDbjXpHQY0,0.08543293333333334,564.196771589929,120.17434423333333,0.10000000000000002,0.012856666666666664,0.6403833444444467,0.011672099999999998
6kGiuNbo0qabx8B5RNcgjx,0.04332194444444445,360.6677834385111,201.07916352777775,0.25000000000000006,0.03641475,1603.0973496111112,0.016559749999999998
6kGzp9WIYvzprSP6hGf4CY,0.10109961111111113,31.121558354619445,5.6298534999999985,0.11111111111111116,0.06748844444444445,0.15818625000000122,0.022136611111111114
6kIwzLSiQU51taaaZ9zWSE,0.08652382417582417,619.6107941160834,45.1727832967033,0.21978021978021983,0.06360167032967033,0.02047406593406614,0.04487164835164836
6kJb4WaCuc4wLBIkSJUY3n,0.11973685897435897,112.52948886239358,49.178284423076924,0.2564102564102565,0.019882102564102562,0.6073103589743591,0.028198564102564105
6kLfL5kU6Cx2S9ZuprFNhp,0.0378944,181.6521019206666,0.45305936666666674,0.0,0.04879376666666667,0.18283386666667145,0.010078300000000002
6kNiCzcjz3WpiBXbkqoUBG,0.09352044696969698,140.71323173750915,6.135631659090908,0.08333333333333331,0.04598899242424242,4.963014446969684,0.017271295454545452
6kPJZM97LwdG9QIsT7khp6,0.04798000000000001,91.56831031884181,2.679450090909092,0.2545454545454545,0.04915236363636364,0.08403981818181813,0.022460654545454543
6kPxXhjSvy8RsmZBAJUiFs,0.08889707272727274,15.641066191647273,17.656250454545454,0.21818181818181817,0.05548907272727273,2.4772205636363656,0.005670600000000003
