,g_song_id,writer_id,writer_name
200,437429,55582,Framal
201,437429,13259,Doums
202,437429,14072,2zer
203,437429,58094,Mekra
204,437429,13119,$-Crew
205,437429,13063,Nekfeu
206,437454,18072,Feist
207,437455,105690,Bigg K
208,437458,226751,Diane Warren
209,437461,55582,Framal
210,437461,13259,Doums
211,437461,14072,2zer
212,437461,58094,Mekra
213,437461,13956,Jazzy Bazz
214,437461,13063,Nekfeu
215,437466,987710,Peter Sterling Radcliffe
216,437466,987709,Tony Sepe
217,437466,3719,Barry White
218,437486,660,Prince
219,437489,660,Prince
220,437490,13259,Doums
221,437490,14071,Deen Burbigo
222,437490,13063,Nekfeu
223,437490,13948,Eff Gee
224,437500,660,Prince
225,437505,660,Prince
226,437507,660,Prince
227,437509,660,Prince
228,437511,15740,Lana Del Rey
229,437511,54290,Rick Nowels
230,437526,630570,Samuel Francis Smith
231,437547,75728,Bert McCracken
232,437547,1007211,Quinn Allman
233,437547,1210834,Jeph Howard
234,437547,1027315,Branden Steineckert
235,437567,2073,Beck
236,437568,19340,Chuck Berry
237,437569,75728,Bert McCracken
238,437569,1007211,Quinn Allman
239,437569,1210834,Jeph Howard
240,437569,1027315,Branden Steineckert
241,437575,75728,Bert McCracken
242,437575,1007211,Quinn Allman
243,437575,1210834,Jeph Howard
244,437575,1027315,Branden Steineckert
245,437588,34286,Tori Amos
246,437594,310,Wiz Khalifa
247,437611,7031,Luther Vandross
248,437611,358281,Marcus Miller
249,437612,358281,Marcus Miller
250,437612,7031,Luther Vandross
251,437614,557311,Roger Penzabene
252,437614,38018,Norman Whitfield
253,437614,326091,Barrett Strong
254,437616,614568,Michael Lovesmith
255,437618,7031,Luther Vandross
256,437620,39170,Conor Oberst
257,437622,18722,Grimes
258,437625,18722,Grimes
259,437627,18722,Grimes
260,437657,19285,Mila J
261,437657,9477,Problem
262,437657,2236,Kirko Bangz
263,437657,25005,Ty Dolla $ign
264,437693,535,R. Kelly
265,437759,57309,Adonis Shropshire
266,437759,1031150,Kendrick A.J. Dean
267,437759,30599,Bryan-Michael Cox
268,437760,27667,Jim Jonsin
269,437760,32212,Frank Romano
270,437760,1495398,Calvin Puckett
271,437760,1495397,Kristal Oliver
272,437760,30751,Angela Hunte
273,437779,8400,The Isley Brothers
274,437843,97830,Andy Hull
275,437860,1015,Chester Bennington
276,437860,271318,Joe Hahn
277,437860,635618,Dave Farrell
278,437860,4431,Mike Shinoda
279,437860,177201,Brad Delson
280,437860,643808,Rob Bourdon
281,437867,57314,Deys
282,437867,183921,Zero (PL)
283,437870,1336,Babyface
284,437873,183925,Ella Henderson
285,437873,43735,Noel Zancanella
286,437873,1653,Ryan Tedder
287,437938,26595,Circa Survive
288,437942,26595,Circa Survive
289,437944,26595,Circa Survive
290,437946,26595,Circa Survive
291,437949,26595,Circa Survive
292,437951,26595,Circa Survive
293,437953,26595,Circa Survive
294,437954,26595,Circa Survive
295,437956,26595,Circa Survive
296,437958,26595,Circa Survive
297,437964,26595,Circa Survive
298,437968,26595,Circa Survive
299,437973,26595,Circa Survive
300,437976,26595,Circa Survive
301,437977,26595,Circa Survive
302,437979,2073,Beck
303,437981,26595,Circa Survive
304,437982,26595,Circa Survive
305,437987,26595,Circa Survive
306,437989,26595,Circa Survive
307,437991,26595,Circa Survive
308,437992,26595,Circa Survive
309,437993,26595,Circa Survive
310,437994,26595,Circa Survive
311,437996,26595,Circa Survive
312,438001,26595,Circa Survive
313,438012,26595,Circa Survive
314,438017,26595,Circa Survive
315,438024,26595,Circa Survive
316,438027,26595,Circa Survive
317,438029,35250,UB40
318,438114,353,Chris Martin
319,438114,182605,Will Champion
320,438114,182604,Jonny Buckland
321,438114,173684,Guy Berryman
322,438119,214559,Lead Belly
323,438151,55582,Framal
324,438151,13956,Jazzy Bazz
325,438151,13063,Nekfeu
326,438193,654910,Sascha Ring
327,438194,1401,Lecrae
328,438194,7388,Trip Lee
329,438194,11970,Sho Baraka
330,438194,47897,DJ Official
331,438201,209,Canibus
332,438201,1133545,Vega X
333,438209,355944,Tommy Shaw
334,438210,75728,Bert McCracken
335,438210,1007211,Quinn Allman
336,438210,1210834,Jeph Howard
337,438210,1027315,Branden Steineckert
338,438225,75728,Bert McCracken
339,438225,1007211,Quinn Allman
340,438225,1210834,Jeph Howard
341,438225,1027315,Branden Steineckert
342,438264,1223064,Hayden Coplen
343,438264,982608,Jason Suwito
344,438264,982610,Landon Jacobs
345,438329,310,Wiz Khalifa
346,438334,310,Wiz Khalifa
347,438334,2444,Pimp C
348,438334,1073,Juicy J
349,438345,310,Wiz Khalifa
350,438345,25005,Ty Dolla $ign
351,438347,36326,The MeKanics
352,438347,27938,Sonny Digital
353,438347,310,Wiz Khalifa
354,438380,310,Wiz Khalifa
355,438392,21282,Tuki Carter
356,438392,310,Wiz Khalifa
357,438395,139034,James Mercer
358,438399,1818,Chevy Woods
359,438399,310,Wiz Khalifa
360,438406,310,Wiz Khalifa
361,438407,15740,Lana Del Rey
362,438407,45187,Dan Heath
363,438441,310,Wiz Khalifa
364,438489,26595,Circa Survive
365,438498,26595,Circa Survive
366,438506,26595,Circa Survive
367,438571,398853,Neal Smith
368,438571,398851,Glen Buxton
369,438571,398850,Michael Bruce
370,438571,398852,Dennis Dunaway
371,438571,8357,Alice Cooper
372,438571,54588,GWAR
373,438581,885,Vybz Kartel
374,438582,19340,Chuck Berry
375,438599,19340,Chuck Berry
376,438615,2090,Prince Paul
377,438626,132,Usher
378,438629,184090,Juan Johnny Najera
379,438629,184091,Valdez Brantley
380,438629,184088,Aaron Spears
381,438629,184089,Arthur Strong
382,438629,132,Usher
383,438638,19340,Chuck Berry
384,438648,3264,Jermaine Dupri
385,438648,30599,Bryan-Michael Cox
386,438648,132,Usher
387,438654,36947,Rich Harrison
388,438654,41478,John Whitehead
389,438654,41477,Gene McFadden
390,438654,34392,Leon Huff
391,438654,132,Usher
392,438657,5763,Poo Bear
393,438657,7597,Ryan Toby
394,438657,45150,Andre Harris
395,438657,49676,Vidal Davis
396,438662,651153,Cheu-B
397,438662,653952,Pispa
398,438662,653950,ADK (XVBARBAR)
399,438662,479473,The S' (XVBARBAR)
400,438663,107,Lil Jon
401,438663,132,Usher
