id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
3dkbV4qihUeMsqN4vBGg93,Al Green,68,946690,'classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul',,,,,,,,,,,,
0TGsWvnbtExsbGUSWtXENE,Al Hirt,38,7868,'christmas', 'dixieland', 'easy listening', 'jazz trumpet', 'lounge', 'new orleans jazz', 'space age pop',,,,,,,,,,,,
3YR92OLKlvkK5oKNekSqXe,Al Jarreau,54,151753,'adult standards', 'jazz funk', 'quiet storm', 'smooth jazz', 'vocal jazz',,,,,,,,,,,,,,
7egNqIGRldMzifHoh8pib6,Al Martino,44,29158,'adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz',,,,,,,,,,,,,
0DW7boyjvbaSP3OJ72sXgC,Al Stewart,52,75125,'album rock', 'art rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock',,,,,,,,,,,
6rJqqRce0Kvo2dJUXoHleC,Alabama,64,394414,'contemporary country', 'country', 'country road', 'country rock', 'traditional country',,,,,,,,,,,,,,
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,66,1127398,'folk-pop', 'funk', 'indie pop', 'modern rock', 'stomp and holler',,,,,,,,,,,,,,
4mxWe1mtYIYfP040G38yvS,Alan Jackson,72,822913,'contemporary country', 'country', 'country road',,,,,,,,,,,,,,,,
2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,61,405259,'album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock',,,,,,,,,,,
6ogn9necmbUdCppmNnGOdi,Alanis Morissette,69,1030509,'alternative rock', 'canadian pop', 'folk-pop', 'lilith', 'pop rock', 'singer-songwriter',,,,,,,,,,,,,
6IYnSXO40Bh7Zdqhf6rQoj,Alannah Myles,57,36104,'classic canadian rock', 'new wave pop',,,,,,,,,,,,,,,,,
3jtTd1E9mBxYYU987s32Fm,Aldo Nova,40,50421,'album rock', 'canadian metal', 'classic canadian rock', 'glam metal', 'hard rock', 'rock',,,,,,,,,,,,,
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez,78,1615810,'grupera', 'latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'tropical',,,,,,,,,,,
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,81,3891507,'dance pop', 'pop', 'post-teen pop', 'r&b',,,,,,,,,,,,,,,
047D9GgqEzyMoULd2oKr7G,Alexander O'Neal,48,104587,'disco', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary',,,,,,,,,,,,
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,65,1084874,'album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock',,,,,,,,,,
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,72,1652719,'alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock',,,,,,,,,,,,
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,78,5171763,'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary',,,,,,,,,,,,,,
6TZdvF1kFzwnQLgHQynzsO,Alien Ant Farm,62,347684,'alternative metal', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock',,,,,,,,,,,
5J6L7N6B4nI1M5cwa29mQG,Alison Krauss,62,153071,'bluegrass', 'folk', 'lilith', 'progressive bluegrass',,,,,,,,,,,,,,,
5TDVKqW9uhqGjwwwKGuma4,All Saints,59,167367,'australian pop', 'canadian pop', 'dance pop', 'electropop', 'europop', 'girl group', 'new wave pop', 'pop rock', 'urban contemporary',,,,,,,,,,
46gyXjRIvN1NL1eCB8GBxo,All Time Low,72,1733704,'pop punk', 'post-teen pop',,,,,,,,,,,,,,,,,
1B8ySGDAiXTCvnJNH4HSCG,All-4-One,59,207919,'boy band', 'new jack swing', 'r&b', 'urban contemporary',,,,,,,,,,,,,,,
1enLi8njBlk1YlDg44MtJm,Allan Sherman,29,3027,'comic',,,,,,,,,,,,,,,,,,
4wQ3PyMz3WwJGI5uEqHUVR,The Allman Brothers Band,67,532108,'album rock', 'blues-rock', 'classic rock', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'modern blues', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock',,,,,
1VPr8y4GGZJBtWyaoLdYUT,Allure,37,7322,,,,,,,,,,,,,,,,,,,
3XHO7cRUPCLOr6jwp8vsx5,alt-J,75,2018673,'indie rock',,,,,,,,,,,,,,,,,,
