,external_urls,genres,href,id,images,name,popularity,type,uri,followers_2
1840,{'spotify': 'https://open.spotify.com/artist/7Ead768rc4ShGxnqtqccU5'},['operatic pop'],https://api.spotify.com/v1/artists/7Ead768rc4ShGxnqtqccU5,7Ead768rc4ShGxnqtqccU5,"[{'height': 640, 'url': 'https://i.scdn.co/image/f6ec82e9881c6b6bddab58cceada61de8188e732', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0e2e33afef76930f04ecbf6d697bd85b6be60e95', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f4f8de72e9bdf48ed8c06b5805927ef925b02ce6', 'width': 160}]",Sarah Brightman,59,artist,spotify:artist:7Ead768rc4ShGxnqtqccU5,205173
1841,{'spotify': 'https://open.spotify.com/artist/3NRFinRTEqUCfaTTZmk8ek'},"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']",https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,3NRFinRTEqUCfaTTZmk8ek,"[{'height': 640, 'url': 'https://i.scdn.co/image/b3e1832c83d4dd154552dc708e24d15def248bb7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4a753d83112fa0b56653e02c2df9bf3a297aa3d6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1cf6e4ea094011b10e4e01de0548f5bd37642113', 'width': 160}]",Savage Garden,66,artist,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,387312
1842,{'spotify': 'https://open.spotify.com/artist/2AVVj8ezW2mJ0v8u7XydiF'},"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",https://api.spotify.com/v1/artists/2AVVj8ezW2mJ0v8u7XydiF,2AVVj8ezW2mJ0v8u7XydiF,"[{'height': 663, 'url': 'https://i.scdn.co/image/efe7ff0571ad11c7bd5b40d2b171b566d444858b', 'width': 1000}, {'height': 424, 'url': 'https://i.scdn.co/image/4fca3616033bed085409cb6381b9cb6af9a16d1f', 'width': 639}, {'height': 133, 'url': 'https://i.scdn.co/image/37a4509220ad97cde0d6b43cae08e061a3fb52a4', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/3c3c7a4a2c8dd2a7073de6539a0b05d5383c51f2', 'width': 63}]",Saving Abel,58,artist,spotify:artist:2AVVj8ezW2mJ0v8u7XydiF,310981
1843,{'spotify': 'https://open.spotify.com/artist/50hFWG3MaUUX5phNrrVc97'},"['contemporary country', 'country', 'country gospel', 'country road', 'country rock', 'traditional country']",https://api.spotify.com/v1/artists/50hFWG3MaUUX5phNrrVc97,50hFWG3MaUUX5phNrrVc97,"[{'height': 1005, 'url': 'https://i.scdn.co/image/f64a091229584fb84ee5cdfa7a89dd5100d41543', 'width': 1000}, {'height': 643, 'url': 'https://i.scdn.co/image/45a10308f79d7905702ca3560d90170021720f1a', 'width': 640}, {'height': 201, 'url': 'https://i.scdn.co/image/4473f0b73244e61e86bec777c73bade88e67f091', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/27dd13d18df83c8fcfdafb249b7d8e776e60059e', 'width': 64}]",Sawyer Brown,52,artist,spotify:artist:50hFWG3MaUUX5phNrrVc97,159454
1844,{'spotify': 'https://open.spotify.com/artist/3RFGnJaDVOyxL9YcFaKatu'},[],https://api.spotify.com/v1/artists/3RFGnJaDVOyxL9YcFaKatu,3RFGnJaDVOyxL9YcFaKatu,"[{'height': 1447, 'url': 'https://i.scdn.co/image/7da2c218d4717c9d5b630e31c1398b31bbbbc125', 'width': 1000}, {'height': 926, 'url': 'https://i.scdn.co/image/6ee170f03fe3fe90195ba665fcab62bb54859a53', 'width': 640}, {'height': 289, 'url': 'https://i.scdn.co/image/34af7c779d90547d91461c108a4db99fba3a51c6', 'width': 200}, {'height': 93, 'url': 'https://i.scdn.co/image/40597a6a5749fd474e6f1df300233451845dad8b', 'width': 64}]",Scandal,40,artist,spotify:artist:3RFGnJaDVOyxL9YcFaKatu,6168
1845,{'spotify': 'https://open.spotify.com/artist/19KwjzvIL92r29IINtlPNP'},"['conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",https://api.spotify.com/v1/artists/19KwjzvIL92r29IINtlPNP,19KwjzvIL92r29IINtlPNP,"[{'height': 640, 'url': 'https://i.scdn.co/image/4318d70853d5b6dd5a9db7360a0480b914b72fd0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/06c55ed2f46ca35b164483fdfa587a2adebc59af', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3b68f84d18064626d27f045ace67ea3853f0eb84', 'width': 160}]",Scarface,61,artist,spotify:artist:19KwjzvIL92r29IINtlPNP,306298
1846,{'spotify': 'https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m'},"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",https://api.spotify.com/v1/artists/5IcR3N7QB1j6KBL8eImZ8m,5IcR3N7QB1j6KBL8eImZ8m,"[{'height': 640, 'url': 'https://i.scdn.co/image/36447c3a3adfb908867fe2a8679cc3fb92b8ecab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ba13683e8189076c6069511fa80b1bf96aebf15d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7a19e6a72ab790c2d80e7e3b248105320f0e6f41', 'width': 160}]",ScHoolboy Q,78,artist,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,2052212
1847,{'spotify': 'https://open.spotify.com/artist/27T030eWyCQRmDyuvr1kxY'},"['album rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",https://api.spotify.com/v1/artists/27T030eWyCQRmDyuvr1kxY,27T030eWyCQRmDyuvr1kxY,"[{'height': 640, 'url': 'https://i.scdn.co/image/2f123bb26564d8a4cc63bc396a094cc4a74dc782', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e8604ff6b9dc2fa390b807ee208b4544bda31a99', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/85a4df978f747b469d11e36be42c577130c4ff0e', 'width': 160}]",Scorpions,73,artist,spotify:artist:27T030eWyCQRmDyuvr1kxY,1666330
1848,{'spotify': 'https://open.spotify.com/artist/6HySSUk2KthFj3bd9R61ql'},"['alternative metal', 'nu metal', 'post-grunge']",https://api.spotify.com/v1/artists/6HySSUk2KthFj3bd9R61ql,6HySSUk2KthFj3bd9R61ql,"[{'height': 576, 'url': 'https://i.scdn.co/image/d5f0ba8eb5aa4feadef4b01bfadd262f002aee84', 'width': 461}, {'height': 250, 'url': 'https://i.scdn.co/image/862947a4206fcc9c959fe54423de917cc443fab1', 'width': 200}, {'height': 80, 'url': 'https://i.scdn.co/image/23d47556eb8ac03d2dc6af369229f59db496c7f5', 'width': 64}]",Scott Stapp,41,artist,spotify:artist:6HySSUk2KthFj3bd9R61ql,47872
1849,{'spotify': 'https://open.spotify.com/artist/6ZV6lGY0prbqpTD0Md8i29'},"['contemporary country', 'country', 'country road', 'modern country rock']",https://api.spotify.com/v1/artists/6ZV6lGY0prbqpTD0Md8i29,6ZV6lGY0prbqpTD0Md8i29,"[{'height': 640, 'url': 'https://i.scdn.co/image/910c586869b8c4d741d3b2d43c4504ab83017728', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d8b4859e5fc1fc295dafa6e5ec3885f8d67309d8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/9c16014071ebd775db43106960d1aa5005e87f49', 'width': 160}]",Scotty McCreery,64,artist,spotify:artist:6ZV6lGY0prbqpTD0Md8i29,372314
1850,{'spotify': 'https://open.spotify.com/artist/5GtMEZEeFFsuHY8ad4kOxv'},['soft rock'],https://api.spotify.com/v1/artists/5GtMEZEeFFsuHY8ad4kOxv,5GtMEZEeFFsuHY8ad4kOxv,"[{'height': 640, 'url': 'https://i.scdn.co/image/f87ba05c9d8fde9366c092730b169729b7fd2c93', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ebba3a05ad81a03384932978859d23f765bdaa48', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/bfca74945c8860c8d680d34ae4546b79cec7d1a0', 'width': 160}]",Seal,66,artist,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,625521
1851,{'spotify': 'https://open.spotify.com/artist/6jdObwsrIjSRnBbMw6lPBj'},"['adult standards', 'album rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock']",https://api.spotify.com/v1/artists/6jdObwsrIjSRnBbMw6lPBj,6jdObwsrIjSRnBbMw6lPBj,"[{'height': 1000, 'url': 'https://i.scdn.co/image/7e0eb81433b92ae11894a35a53aa870be824d772', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/76ccb803ba5113aa822077dd9f1c3187ca9d323d', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/b710389b2afcc6a256cd68d8409f9fdf481f78af', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/d6c5db76d07d5fa0571e8353319da0c3ab2fdeaf', 'width': 64}]",Seals and Crofts,60,artist,spotify:artist:6jdObwsrIjSRnBbMw6lPBj,173779
1852,{'spotify': 'https://open.spotify.com/artist/6S0dmVVn4udvppDhZIWxCr'},"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/6S0dmVVn4udvppDhZIWxCr,6S0dmVVn4udvppDhZIWxCr,"[{'height': 860, 'url': 'https://i.scdn.co/image/faf6044a48f42c6530483f31e9e213d159546eb5', 'width': 750}, {'height': 734, 'url': 'https://i.scdn.co/image/d998c11101483881a1c1a7ddea987d8f6466a2e3', 'width': 640}, {'height': 229, 'url': 'https://i.scdn.co/image/8efebfbfad1daa764334cbc70ee6becad461e9c5', 'width': 200}, {'height': 73, 'url': 'https://i.scdn.co/image/4237286c9d8ab36f2257f9fa618a22643a55e2bd', 'width': 64}]",Sean Kingston,73,artist,spotify:artist:6S0dmVVn4udvppDhZIWxCr,1091701
