,confidence,duration,loudness,mode,mode_confidence,tempo,tempo_confidence
6k9L7kTBzjXY0GfazHYqCg,0.6483,20.578667000000003,-9.3965,0.8,0.46769999999999995,142.13690000000003,0.2643
6kAS4yj3wHJXcLp93vr5aG,0.7962857142857143,23.99047571428571,-8.996428571428572,0.8571428571428571,0.35900000000000004,192.4594285714286,0.3767142857142857
6kBU9uWqar0Fw2Ws0he11A,0.4998333333333333,21.206666666666667,-10.396166666666666,0.9166666666666666,0.4961666666666667,111.55308333333333,0.40650000000000003
6kD36kVRn5leDDbjXpHQY0,0.5834,28.893332000000004,-12.656299999999998,0.9,0.537,109.83930000000001,0.5669
6kGiuNbo0qabx8B5RNcgjx,0.7762222222222221,27.67111111111111,-15.491444444444445,0.3333333333333333,0.43833333333333324,106.76311111111112,0.31933333333333336
6kGzp9WIYvzprSP6hGf4CY,0.3871111111111111,14.688122222222225,-6.189333333333334,0.8888888888888888,0.3287777777777778,72.72366666666666,0.5798888888888888
6kIwzLSiQU51taaaZ9zWSE,0.526142857142857,29.146667142857137,-12.640285714285714,0.7142857142857143,0.3658571428571428,82.96871428571428,0.48657142857142854
6kJb4WaCuc4wLBIkSJUY3n,0.5577692307692307,19.98461461538462,-10.531384615384612,0.6153846153846154,0.3485384615384616,130.27723076923078,0.48730769230769233
6kLfL5kU6Cx2S9ZuprFNhp,0.718,21.84444333333333,-10.025166666666665,1.0,0.4458333333333333,161.72133333333335,0.41150000000000003
6kNiCzcjz3WpiBXbkqoUBG,0.6835833333333333,22.45,-10.79925,0.9166666666666666,0.4994166666666667,152.45941666666667,0.42275
6kPJZM97LwdG9QIsT7khp6,0.6290000000000001,20.241212727272725,-5.16109090909091,0.36363636363636365,0.4058181818181818,104.97172727272728,0.5766363636363636
6kPxXhjSvy8RsmZBAJUiFs,0.5004545454545454,13.951514545454547,-14.913636363636362,0.7272727272727273,0.33545454545454545,132.28781818181818,0.33
6kQaq5LEQ2Mpm260JKYnHl,0.5213333333333333,26.188888333333335,-9.773833333333334,1.0,0.6471666666666667,88.6845,0.4091666666666667
6kQe8MBvSdX8AD1UsjRv7w,0.4824,31.236,-8.095699999999999,0.6,0.4159,116.58780000000002,0.3573
6kRE4FvX9ic4gOODwII1y0,0.5726,21.981110666666666,-13.6666,0.13333333333333333,0.33026666666666665,111.31226666666666,0.4850666666666667
6kRHIQdAM9iCW7OCYeUKdZ,0.48782352941176466,26.745098235294112,-19.650058823529406,0.6470588235294118,0.33894117647058825,87.2624117647059,0.49352941176470594
6kTakcO9wwXh8tEqmJSV8h,0.44546153846153846,24.237950769230768,-10.419,0.46153846153846156,0.3003846153846154,80.98453846153846,0.5724615384615384
6kTkymBXiNTd5Kcp4kVkiY,0.4949,27.945332999999998,-9.209400000000002,0.9,0.3861,78.5143,0.4936
6kWJvPfC4DgUpRsXKNa9z9,0.5305,21.121333,-12.1953,0.7,0.4215,93.77359999999999,0.841
6kXBteYQsR9tCoArL8V5mD,0.6154285714285714,22.285713571428577,-9.61357142857143,0.42857142857142855,0.4427857142857142,180.61478571428572,0.6353571428571428
6kXkbhwZcz6d7h04WsYswt,0.33816666666666667,15.413332777777775,-18.612888888888886,1.0,0.5395,75.07149999999999,0.3747222222222223
6kYTywTCfycHZcH0WdLyRy,0.691,48.76000333333334,-12.128,0.3333333333333333,0.24833333333333332,81.72333333333333,0.676
6kblAEj0T0312fv5QWsXzo,0.5296666666666667,19.615554999999997,-9.217666666666668,0.6666666666666666,0.41358333333333336,125.43458333333335,0.612
6kcEeXcDca8oe9dlvYeGmI,0.6716666666666667,19.870000833333332,-8.538333333333334,0.9166666666666666,0.5605833333333333,169.71275000000003,0.2783333333333333
6kcuYyyU2tPxGP3PDVWYJT,0.7087777777777778,26.087410000000002,-6.709777777777777,1.0,0.4583333333333333,172.53355555555555,0.2887777777777778
6kesIBNAY17BoAz28pnWMC,0.4859285714285715,25.324762142857143,-8.018571428571429,0.7142857142857143,0.3885714285714286,69.1965,0.27178571428571424
6kex4EBAj0WHXDKZMEJaaF,0.46636363636363637,19.673507272727274,-4.10709090909091,0.8181818181818182,0.39390909090909093,98.05163636363638,0.5690909090909092
6kgxZIqVntV1hmM0IFFnhU,0.43946153846153846,23.83986,-14.51176923076923,0.38461538461538464,0.4928461538461538,122.48307692307688,0.7066923076923076
6khDguAo8XXW1h0u7xofYk,0.530375,25.094998750000002,-8.762875000000001,0.5,0.47062500000000007,114.061875,0.376125
6kiPr9joxTFka4DKy7Z40X,0.476875,40.116665,-5.535875,0.75,0.48574999999999996,76.301125,0.465375
